wikidata_code;birth;death;name;main_occ;citizenship;bplo1;dplo1;bpla1;dpla1
Q1000203;1886;1945;Robert_Mallet-Stevens;architect;France;2.351388931274414;2.351388931274414;48.8569450378418;48.8569450378418
Q100035;1800;1840;Franz_von_Gaudy;poet;Germany;14.55166721343994;13.38333320617676;52.34194564819336;52.51666641235352
Q1000379;1929;2010;Ferdinand_Oyono;writer;Cameroon;11.43330001831055;11.51805591583252;3.083329916000366;3.857777833938599
Q1000421;1875;1950;Charles_Rousselière;opera;France;-2.213888883590698;.6616666913032532;47.27361297607422;47.35055541992188
Q1000507;1065;1114;Hugh_of_Flavigny;benedictine;France;5.382777690887451;;49.15972137451172;
Q1000848;1930;;Christian_Poirot;driver;France;6.878611087799072;;48.07222366333008;
Q1001839;1945;;François_Bourguignon;economist;France;2.351388931274414;;48.8569450378418;
Q1001933;326;360;Helena_(wife_of_Julian);empress;Roman_Empire;;4.874722003936768;;45.52555465698242
Q1002317;1789;1870;Joséphine_Fodor;opera;France;2.351388931274414;4.793055534362793;48.8569450378418;45.69527816772461
Q1002546;1453;1486;Margaret_of_Foix;duchess;France;-1.283611059188843;-1.553888916969299;47.08694458007813;47.21722412109375
Q100259;1793;1843;Mortimer_von_Maltzan;diplomat;Germany;16.86666679382324;13.38333320617676;51.14583206176758;52.51666641235352
Q1003305;1909;2006;Francesc_Mitjans;architect;Spain;2.176944494247437;2.176944494247437;41.38249969482422;41.38249969482422
Q1003306;1965;;Frances_Ondiviela;actor;Spain;-15.59249973297119;;27.95861053466797;
Q1003310;1479;1539;Francesco_Chieregati;priest;;11.55000019073486;11.34277820587158;45.54999923706055;44.49388885498047
Q1003315;1984;;Francesco_Lodi;football;Italy;14.25;;40.83333206176758;
Q1003655;1769;1796;François_Séverin_Marceau;militar;France;1.488333344459534;7.64555549621582;48.4466667175293;50.68722152709961
Q1003664;1761;1794;François_Hanriot;révolution_française;France;2.203611135482788;2.351388931274414;48.89055633544922;48.8569450378418
Q1003677;1530;1583;François_de_Belleforest;writer;France;.9308333396911621;2.351388931274414;43.49277877807617;48.8569450378418
Q1004154;1952;;Frédéric_Barbier_(historian);historian;France;2.156944513320923;;48.89055633544922;
Q1004155;1972;;Frédéric_Esther;boxer;France;1.906388878822327;;49.00611114501953;
Q1004158;1799;1875;Frédéric_Eichhoff;teacher;France;.108055554330349;2.332233428955078;49.49416732788086;48.85052871704102
Q100448;1882;1966;Victor_Antoni;politician;Germany;7.019721984863281;7.019721984863281;48.84555435180664;48.84555435180664
Q1004893;1874;1945;Ratsadanay;campaign;Laos;105.8781814575195;;14.89161968231201;
Q1005375;1992;;Lorys_Bourelly;swimmer;France;-61.06666564941406;;14.60000038146973;
Q1005479;1947;2004;Jean-Jacques_Laffont;economist;France;1.443888902664185;1.335833311080933;43.60444259643555;43.61277770996094
Q1007895;;1082;Robert_de_Grandmesnil;priest;France;;15.86666679382324;;38.26666641235352
Q1009520;1937;;Georges_Konrath;football;France;7.601666450500488;;48.75694274902344;
Q1009528;1885;1937;Georges_Valmier;painter;France;.1594444513320923;2.341111183166504;45.64944458007813;48.88694381713867
Q100974;1847;1927;Nicolas_Delsor;priest;France;7.752222061157227;7.752222061157227;48.57333374023438;48.57333374023438
Q1010317;;1007;Bouchard_Ier_de_Vendôme;monarch;France;;2.485555648803711;;48.8025016784668
Q1010348;;;Bouchard_Ratepilate;aristocrat;France;3.28333330154419;1.065555572509766;48.19722366333008;47.79277801513672
Q1010351;1251;1296;Bouchard_d'Avesnes_(1251-1296);bishop;France;;6.176944255828857;;49.11972045898438
Q1010767;757;810;Gisela,_Abbess_of_Chelles;daughter;France;;2.588888883590698;;48.87861251831055
Q101282;1834;1916;Jean_Marie_Pierre_Colbus;vicaire;Germany;6.608889102935791;7.752222061157227;49.14083480834961;48.57333374023438
Q101286;1611;1689;Pope_Innocent_XI;priest;Italy;9.086138725280762;12.48277759552002;45.81024932861328;41.8930549621582
Q101290;1910;1995;Georg_K._Glaser;writer;Germany;8.345555305480957;2.351388931274414;49.79722213745117;48.8569450378418
Q101320;1939;;Ellen_Marx_(artist);artist;Germany;7;;49.23333358764648;
Q101410;1954;;François_Fillon;politician;France;.1969444453716278;;48.00416564941406;
Q101516;1863;1944;Sergey_Prokudin-Gorsky;chemist;Russia;39.16249847412109;2.351388931274414;56.1578483581543;48.8569450378418
Q101740;1924;2010;Benoit_Mandelbrot;mathematician;France;21.01111030578613;.1225000023841858;52.22999954223633;52.20805740356445
Q101866;1100;1187;Pope_Gregory_VIII;priest;Italy;14.78333377838135;10.39999961853027;41.13333511352539;43.71666717529297
Q1019357;1961;;Béatrice_Abgrall;player;France;-2.76027774810791;;48.51361083984375;
Q1019375;1960;;Béatrice_Thiriet;composer;France;2.351388931274414;;48.8569450378418;
Q1019376;1274;;Béatrice_de_Planisoles;noble;France;1.805555582046509;1.628333330154419;42.76889038085938;43.04555511474609
Q1019421;1906;1954;Béla_Just;writer;Hungary;19.04083251953125;2.983333349227905;47.49833297729492;39.61666488647461
Q1019464;1805;1862;Benildus_Romançon;friar;France;3.258888959884644;3.547499895095825;45.96888732910156;44.95999908447266
Q1019482;1968;1991;Bérengère_de_Lagatinerie;actor;France;2.300291776657105;2.290555477142334;48.84132766723633;48.77861022949219
Q102005;1060;1100;William_II_of_England;king;United_Kingdom;-.4366443157196045;-1.618055582046509;49.12233734130859;50.86305618286133
Q10200739;1901;1981;Géraud_Venzac;priest;France;2.656111001968384;2.643333435058594;44.89944458007813;50.79388809204102
Q102055;1655;1707;Martin_Grünberg;architect;Germany;21.8166675567627;13.38333320617676;54.63333511352539;52.51666641235352
Q10205572;;1790;Philibert-Joseph_Le_Roux;lexicographer;France;;4.351666450500488;;50.8466682434082
Q10207490;1901;1979;Pierre_Miremont;writer;France;.9097222089767456;6.010555744171143;44.84527587890625;43.12472152709961
Q1021574;1898;1988;Louis-Raymond_Fischer;architect;France;2.351388931274414;-.3700000047683716;48.8569450378418;43.30083465576172
Q102166;1763;1834;Duke_Ferdinand_Frederick_Augustus_of_Württemberg;militar;Germany;15.2786111831665;8.240833282470703;54.05722045898438;50.04750061035156
Q102256;1888;1966;Raphael_Walzer;priest;Germany;9.61138916015625;8.710000038146973;47.78305435180664;49.41222381591797
Q102268;1834;1916;Édouard_Jaunez_(1834-1918);politician;Germany;6.176944255828857;7.067222118377686;49.11972045898438;49.11055374145508
Q102284;1670;1745;Jean_de_Bodt;architect;Germany;2.351388931274414;13.73999977111816;48.8569450378418;51.04999923706055
Q1025924;1979;;Stéphane_Tissot;skier;France;6.617499828338623;;45.8569450378418;
Q10263113;1879;1951;César_Garin;sport;Italy;7.166666507720947;2.300291776657105;45.70305633544922;48.84132766723633
Q10263823;1835;1920;Damien-Marie_Saintourens;monk;France;.1652777791023254;;44.5;
Q10263836;985;1048;Dalmas_I_of_Semur;noble;France;5.041944026947022;6.030499935150147;47.32305526733398;47.23452758789063
Q10263971;1943;;Daniel_Lins;philosopher;Brazil;-53;;-14;
Q10264760;1988;;Defrancesca_Gallardo;actor;Czech_Republic;14.41666698455811;;50.08333206176758;
Q10264863;1884;1980;Delgado_de_Carvalho;geographer;Brazil;2.351388931274414;;48.8569450378418;
Q1026562;1986;;François_Braud;skier;France;6.354722023010254;;46.90611267089844;
Q1026571;1983;;Sébastien_Lacroix;ski;France;5.863333225250244;;46.38722229003906;
Q1026714;1968;;Cali_(singer);singer;France;2.89472222328186;;42.6974983215332;
Q10267435;1956;;Diva_Pavesi;journalist;Brazil;-46.63394546508789;;-23.55039405822754;
Q1026865;1655;1730;Sébastien_de_Brossard;composer;France;-.5519444346427918;2.887777805328369;48.63222122192383;48.95944595336914
Q1026897;1990;;Francesca_Marsaglia;skier;Italy;12.48277759552002;;41.8930549621582;
Q1026906;1655;1728;Louis_le_Comte;astronomer;France;-.5794444680213928;-.5794444680213928;44.83777618408203;44.83777618408203
Q1027034;1901;1932;Pierre_Batcheff;actor;Russia;126.6333312988281;2.351388931274414;45.75;48.8569450378418
Q1027058;1901;;Calixte_Payot;hockey;France;7.53333330154419;;45.76666641235352;
Q10270748;1846;1912;Eduardo_Palassin_Guinle;empresário;Brazil;-51.22999954223633;;-30.03277778625488;
Q10270791;1974;;Eduardo_Srur;arte;Brazil;-49.20750045776367;;-21.82972145080566;
Q102708;1734;1818;Jean-Ferdinand_Schwerdfeger;craftsman;Germany;10;2.382620096206665;51;48.84889984130859
Q10271845;1928;;Eliane_Lage;actor;Brazil;2.351388931274414;;48.8569450378418;
Q102722;1873;1947;Maximilien_Jaunez;manufacturer;Germany;7.067222118377686;7.067222118377686;49.11055374145508;49.11055374145508
Q10272455;1794;1861;Emmanuel_Bailly;journalist;France;2.381666660308838;2.351388931274414;50.40888977050781;48.8569450378418
Q10272456;1961;;Emmanuel_Bassoleil;;France;5.04194450378418;;47.32305526733398;
Q1027354;1896;1966;Louis_Renou;philologist;France;2.276488780975342;1.485000014305115;48.86360931396484;49.09166717529297
Q10274023;1869;1939;Ernest_Martinenche;writer;France;4.192222118377686;6.568055629730225;43.78499984741211;43.20777893066406
Q10274043;1840;1885;Ernesto_Chardron;writer;Portugal;5.666666507720947;-8.610777854919434;50.25;41.14947128295898
Q1027406;1980;;Fanélie_Carrey-Conte;politician;France;-.5488888621330261;;44.80777740478516;
Q1027480;1932;;Christian_Godard;artist;France;2.351388931274414;;48.8569450378418;
Q1027488;1991;;Marvin_Van_Heek;skier;Netherlands;3.877230644226074;;43.61091995239258;
Q1027528;1944;;Jean-Pierre_Maggi;politician;France;5.376389026641846;;43.29666519165039;
Q1027587;1200;1248;Robert_VII,_Lord_of_Béthune;noble;France;;9.083333015441895;;40.04999923706055
Q102764;1967;;Thomas_Limberger;manager;Germany;8.610486030578613;;50.2292366027832;
Q1027750;1946;;Marcel_Gauchet;philosopher;France;-1.309999942779541;;48.61833190917969;
Q10278167;1863;1911;Eugénio_Vaz_Pacheco_do_Canto_e_Castro;politician;France;-25.67000007629395;-25.67000007629395;37.7400016784668;37.7400016784668
Q1027860;1723;1797;Teresa_Cornelys;operatic;Italy;12.33194446563721;-.1049999967217445;45.43972396850586;51.51610946655273
Q1028024;1991;;Gueïda_Fofana;football;France;.108055554330349;;49.49416732788086;
Q102804;1852;1907;Henri_Moissan;chemist;France;2.351388931274414;2.351388931274414;48.8569450378418;48.8569450378418
Q10281013;1930;2013;Felipe_Wagner;actor;Brazil;2.351388931274414;-43.19638824462891;48.8569450378418;-22.90833282470703
Q10284461;1921;2017;Francelino_Pereira;politician;Brazil;-42.73888778686523;-43.94194412231445;-6.085833549499512;-19.92805480957031
Q10284465;1890;1972;Frances_Carpenter;photographer;US;-77.03666687011719;;38.89500045776367;
Q10284471;1934;2013;Francesc_Petit;creative;Brazil;2.176944494247437;-49.20750045776367;41.38249969482422;-21.82972145080566
Q10284478;1916;1974;Francesco_Parlagreco;painter;Brazil;14.06244468688965;;37.49147033691406;
Q10284664;1881;1936;Francesco_Calvo_Burillo;priest;Spain;-.4515984952449799;-.4515984952449799;41.17473602294922;41.17473602294922
Q10285675;1807;1860;François-René_Moreaux;painter;France;4.521389007568359;-43.19638824462891;49.92527770996094;-22.90833282470703
Q10285678;1622;1709;François_Bayle_(médecin);physician;France;.5708333253860474;1.443888902664185;43.02750015258789;43.60444259643555
Q10285685;1910;2014;François_de_Tricornot_de_Rose;diplomat;France;2.351388931274414;2.267499923706055;43.2158317565918;48.88722229003906
Q1028569;1987;;Guillaume_Bonnafond;sport;France;4.890833377838135;;44.93249893188477;
Q1028578;1888;1914;Alfred_Agostinelli;secretary;France;7.420000076293945;7.123055458068848;43.73110961914063;43.58000183105469
Q1028588;1742;1805;Louis_Monneron;politician;France;4.670833110809326;-14.28333282470703;45.2400016784668;14.36666679382324
Q10285881;1822;1890;Frei_Germano_de_Annecy;astronomer;France;6.129444599151611;-41.68999862670898;45.89916610717773;-12.52000045776367
Q10287;1962;;Manuel_Valls;politician;Spain;2.160099983215332;;41.42950439453125;
Q1028877;1797;1866;Aimé_Leborne;composer;France;4.351666450500488;2.351388931274414;50.8466682434082;48.8569450378418
Q10288989;1876;1902;Georges_Saché;mechanic;France;6.021389007568359;2.351388931274414;47.24222183227539;48.8569450378418
Q1028975;1912;1954;Jacques_Fath;fashion_designer;France;2.144999980926514;2.351388931274414;48.94610977172852;48.8569450378418
Q10289954;1923;2016;Giselle_Cossard;anthropologist;France;-5.80388879776001;-43.19638824462891;35.77666854858398;-22.90833282470703
Q1029005;1928;1991;Guy_Bourdin;photographer;France;2.351388931274414;2.351388931274414;48.8569450378418;48.8569450378418
Q1029052;1862;1936;Frances_Külpe;writer;Germany;34.09722137451172;8.800000190734863;53.82222366333008;46.16666793823242
Q10290527;1828;1872;Gontran_Borys;writer;France;3.285555601119995;2.351388931274414;49.8477783203125;48.8569450378418
Q10290542;1901;1984;Gonçal_de_Reparaz_i_Ruiz;geographer;Portugal;2.210833311080933;-77.03749847412109;48.82305526733398;-12.0600004196167
Q1029105;1799;1891;Camille-Christophe_Gerono;mathematician;France;2.351388931274414;2.351388931274414;48.8569450378418;48.8569450378418
Q1029112;1864;1904;Camille_Andrès;composer;France;7.306388854980469;2.351388931274414;48.09472274780273;48.8569450378418
Q1029118;1851;1923;Camille_Benoît;curator;France;4.068055629730225;2.351388931274414;46.03610992431641;48.8569450378418
Q1029121;1853;1935;Camille_Blondel;diplomat;France;2.351388931274414;26.63638877868652;48.8569450378418;44.08638763427734
Q1029131;1980;;Camille_Butcher;singer;France;-3;;51.58333206176758;
Q1029137;1831;1908;Camille_Chabaneau;philologist;France;.6616666913032532;.6616666913032532;45.52944564819336;45.52944564819336
Q1029147;1859;1923;Camille_Chevillard;conductor;France;2.349999904632568;2.156944513320923;48.84999847412109;48.89055633544922
Q1029156;1910;1988;Camille_Cottin_(football);football;France;4.63527774810791;6.128611087799072;46.91444396972656;43.11888885498047
